sha256,size_bytes,path,origem,classificacao
a591d517f1134fced9d4e450a758127dcacfe463df20c03127c4741707b2bc3b,82,.gitattributes,session-2026-08-02,CANONICAL_ACTIVE
0a2208287c86d867c14c2b5f8fe2ab11ea8e8a3cae6effa257f5f97e9e72c0f7,214,.github/PULL_REQUEST_TEMPLATE.md,session-2026-08-02,CANONICAL_ACTIVE
66bc46c24ab1c92533c60f1cf549228e3ecc3af30bf9056daa2663611d083769,2827,.github/workflows/session-pr.yml,session-2026-08-02,CANONICAL_ACTIVE
6496d75e1aec453a8b6f03deb2ac9043c8ca796461469619c218742e7c7e8035,1073,.gitignore,session-2026-08-02,CANONICAL_ACTIVE
56f54cdb6d8ffc5132f1dd0873eb2283c900ed76d2e53c640ef629eed49bd937,54,archive/quarantine-index/.gitkeep,session-2026-08-02,HISTORICAL_EVIDENCE
418a97190c008f265314c30f0df379ce0fabb8c5c2babb14b287f4232d5d4bd4,2879,archive/quarantine-index/DECISAO_SUBSTITUTIVA_DUMP_COMPLETO__SUPERSEDED.md,session-2026-08-02,HISTORICAL_EVIDENCE
80f1f5fe878906ddf72752be51e73e17d884290598c83811c64e079ccf52445b,553,archive/quarantine-index/README.md,session-2026-08-02,HISTORICAL_EVIDENCE
dba1d69780ff0101f1b936bff52b8633a4f20375ae47d98e115bb5faee3b53b3,72,archive/raw-session-index/.gitkeep,session-2026-08-02,GENERATED_ARTIFACT
221619c46a842cccc952fcfd50a44023548bd350a1046f520dbad4eacc9357d2,55,archive/superseded/.gitkeep,session-2026-08-02,GENERATED_ARTIFACT
2375e4350da246e358e3f7bf5f246b546a0eaa860fdb7f052e546322197a9d7b,2199,CHANGELOG.md,session-2026-08-02,CANONICAL_ACTIVE
5e93fc10aa61177c1f13191396a13adc9e63184a331b7d46454b9e2cb1f4037b,27,docs/architecture/.gitkeep,session-2026-08-02,GENERATED_ARTIFACT
2153ecc784ca32a4ddb4f7124845356fdebf98fc7a58aff7f9dec3ebdf11e013,56,docs/audits/.gitkeep,session-2026-08-02,GENERATED_ARTIFACT
cf606aded6704d330dd43e91dc3f52177e768c9b458926fba561cc268be6e6ac,6021,docs/governance/decisions/current/DECISAO_SUBSTITUTIVA_SCHEMA_ONLY.md,session-2026-08-02,CANONICAL_ACTIVE
8ab01b15a05322bb2c81a5419b9090e981d3f89c968b1b4641c9f8d4ed7e2162,4201,docs/governance/decisions/history/2026-07-31_DECISAO_DUMP_COMPLETO__ORIGINAL.md,session-2026-08-02,HISTORICAL_EVIDENCE
37b2b051b60c0721c2cfd6ce20fdf8b28c833aac1155d0781fd8763d027025f7,2682,docs/governance/decisions/history/2026-08-01_STATUS_SUBSTITUICAO_DUMP_COMPLETO.md,session-2026-08-02,HISTORICAL_EVIDENCE
c77f77fcef895bb70e69027bc86be36863eafae0e418422e3e818c01dfa88020,70,docs/governance/decisions/pending/.gitkeep,session-2026-08-02,GENERATED_ARTIFACT
845418a713b7a588f1844ed2a1ccde962684e263a8567fd3f3bbf66c5bd6f947,4528,docs/governance/M17_FRONTEIRA_EXECUTOR.md,session-2026-08-02,CANONICAL_ACTIVE
