source_sha256,current_sha256,source_size_bytes,current_size_bytes,path,status,note
ce2bfa63e17a9a76f52d63015a3703a07e1050b77087e8d1c3622a2d43f4e796,c5ed29021d4f15e588206633c1875570ca74e5e567195ca0b74182b2b2538fb8,233,274,package/stein-db-twin/.gitignore,INTEGRATION_TRANSFORM,"exceção explícita para seeds/seed_7730.sql sintético"
5b697bedaab6a8559431bce5065456e6415c19880c2e6d21da9d97213dbe3203,5b697bedaab6a8559431bce5065456e6415c19880c2e6d21da9d97213dbe3203,3111,3111,package/stein-db-twin/README.md,RESTORED_BYTE_IDENTICAL,"restaurado byte a byte a partir do TAR"
be255e2ee53f6828ed52681c84c6b388b82326f8cb4586256c30994beaa6121a,be255e2ee53f6828ed52681c84c6b388b82326f8cb4586256c30994beaa6121a,2105,2105,package/stein-db-twin/config/columns.json,BYTE_IDENTICAL,""
b80e59fe155a675ad3b8f6ddca319fd20a07319b6d2f1291289c03634b4a016a,b80e59fe155a675ad3b8f6ddca319fd20a07319b6d2f1291289c03634b4a016a,934,934,package/stein-db-twin/config/docker-compose.yml,BYTE_IDENTICAL,""
cbdc9015561d5a9292a1e563e4744a5a17fc69d6c370bda8449dc73926ba9fb3,cbdc9015561d5a9292a1e563e4744a5a17fc69d6c370bda8449dc73926ba9fb3,2702,2702,package/stein-db-twin/docs/CHANGELOG_v0.2.md,BYTE_IDENTICAL,""
acf7997699db3ca4483a0b2a59fd64721586a38e3e6a505b29606e1f020e8ef5,acf7997699db3ca4483a0b2a59fd64721586a38e3e6a505b29606e1f020e8ef5,1839,1839,package/stein-db-twin/docs/MISSION_TEMPLATE.md,BYTE_IDENTICAL,""
2a0a590dd9d5eaa93e366974c0af6089cd1bdabd2d1e4557555178b68d3888c3,2a0a590dd9d5eaa93e366974c0af6089cd1bdabd2d1e4557555178b68d3888c3,2143,2143,package/stein-db-twin/docs/RUNBOOK.md,BYTE_IDENTICAL,""
8fbce77edbe933cf5dd99e336764aed922a5304be5dd1a118489dc54f9e48df1,8fbce77edbe933cf5dd99e336764aed922a5304be5dd1a118489dc54f9e48df1,830,830,package/stein-db-twin/policies/human-gates.json,BYTE_IDENTICAL,"política legada subordinada à governança raiz"
20416a3019006f991f487b1aab93bf0d21c2784c57fa6b59d6b15f3924de9370,20416a3019006f991f487b1aab93bf0d21c2784c57fa6b59d6b15f3924de9370,755,755,package/stein-db-twin/policies/permissions.json,BYTE_IDENTICAL,"política legada subordinada à governança raiz"
01a9b37ca1736a53b3252bd82db8eabfe793d955063d5335503976e8a724c4e0,01a9b37ca1736a53b3252bd82db8eabfe793d955063d5335503976e8a724c4e0,11209,11209,package/stein-db-twin/sanitizer/sanitize_v2.py,BYTE_IDENTICAL,""
2e58cc1d695e37ff91c9fc25e08d7c141db87d9dd97191f847e3c6b888f6dc80,2e58cc1d695e37ff91c9fc25e08d7c141db87d9dd97191f847e3c6b888f6dc80,1412,1412,package/stein-db-twin/scripts/01_dump_homolog.ps1,BYTE_IDENTICAL,""
5123b6b41769db9cb565f4c2656c497e30a816889ac9600787794d6a6ff49e3e,5123b6b41769db9cb565f4c2656c497e30a816889ac9600787794d6a6ff49e3e,2059,2059,package/stein-db-twin/scripts/02_sanitize.ps1,BYTE_IDENTICAL,""
41e04a1fba1208034c2ad170a32896507016931c571d0b5942388734f612d74e,41e04a1fba1208034c2ad170a32896507016931c571d0b5942388734f612d74e,1127,1127,package/stein-db-twin/scripts/03_start_local.ps1,BYTE_IDENTICAL,""
86e085910e7ccb183848505603bd3b8e419b0576c7e1462fc61e9799059e7b29,86e085910e7ccb183848505603bd3b8e419b0576c7e1462fc61e9799059e7b29,2674,2674,package/stein-db-twin/scripts/04_restore_mission.ps1,BYTE_IDENTICAL,""
2517f556804ed5052be78a7a0314cfbd6bb8b81069e60c1d201fd8b7bf452daa,2517f556804ed5052be78a7a0314cfbd6bb8b81069e60c1d201fd8b7bf452daa,796,796,package/stein-db-twin/seeds/seed_7730.sql,BYTE_IDENTICAL,"skeleton sintético com ROLLBACK"
,83264f99f50b9d428f22de87a9e8ef5252a0303c96215218ca551fcb616b0885,0,3049,package/stein-db-twin/_IMPORT_STATUS.md,CREATED_DURING_INTEGRATION,"registro de custódia e classificação"
